District_ID,tur,maize,rice,jowar,cotton,ragi,groundnut,moong,bajra,soybean,onion,wheat
1,26227.2,78576.6,32.4,82868.4,1522.8,9.6,35491.8,31942,16014.4,1046.4,36802.8,26521.6
2,1297.2,11971.8,564.6,218.4,1.2,34568,110.8,0,4.8,0,55.8,0.4
3,8463.6,180524.4,70868.4,111568.8,70982.4,590.8,25492.8,34313.6,6726,60778,6589.8,34042.4
4,9228.4,120692.8,95935.2,27646.8,62874.6,9247.6,57604.8,133.2,16000.8,1.6,10198.2,242
5,636.6,1416,378.6,219,8.4,13819.6,67.6,7.2,4.8,2.4,39.6,1.2
6,62829.4,1414.2,654,43329,561.6,4.8,40,36591,1079.6,164522.4,725.4,3033.6
7,313400,57798.60002,72.6,0,18675.6,30.4,24819.2,5685.2,18049.6,18,15523.8,48814.8
8,1048.8,35061,8068.2,13241.2,10266.6,17775.6,4265.6,1460.4,882.8,27.6,4857.6,0.6
9,9082.2,55380,609,8932.2,94.8,37117.53939,25453.8,61.26060606,126.4,4.8,1271.4,1.6
10,504.6,21527.4,27789,15969.6,2143.2,31628.4,5512.2,9024.9,13.6,3.6,6647.4,1.8
11,10435.2,111259.2,1456.2,7222.4,11878.2,28673.6,66830.4,3769.2,2242.4,12,32839.2,301.2
12,7735.8,161760.6,114043.8,5377.2,4683.6,12347.2,11908.4,123.6,812.8,36.6,7753.8,79.6
13,603.6,42381.6,13411.2,44173.6,56273.8,30,19976,34420.8,21.6,25647.6,16832.8,26054.4
14,2539.2,56048.4,3684,56855.6,24360.4,14,30542,87057.2,2315.2,28.2,35788.8,13286.36989
15,377027.2,1488.6,10749.6,156614.2706,78283.2,27.6,6006,61897.72944,3665.2,21407.4,4632,6931.2
16,1104,97098.8,41055.6,5586.4,69.2,66838.8,420.8,0,38.4,9.6,79.8,3.6
17,1610.4,174939.2,26007.2,31837.6,90665.4,185.2,17208.8,2578,2.4,5372,5086.8,0
18,0,3477,18477.6,0,0,24.8,42.6,2.4,0,0,0,1.2
19,2610,727.2,2687.4,652.8,0,62413,7532.8,25.8,39.2,1.8,360,0
20,16798,82220.4,77474.4,34983.2,8229.6,27.6,25996.8,20069.6,58501.6,8.4,11403.6,4354.8
21,833.4,8266.2,61129.8,1954.2,2.4,51642.4,620.4,253.6,5.2,39.6,210,0.6
22,3473.4,30226.4,98923.2,6036.8,49412.2,40686.8,1689.2,4745.6,7.2,42,24,1.2
23,28191.39998,2476.4,115356.4,77920,83772,33.6,21185.2,0,34692,3.6,1246,166.4
24,2853.6,3291.6,4480.8,681.2,0.6,72369.8,1607.4,42,38,3,12.6,0.4
25,205.6,55154.4,110267.8,195,1648.2,596.4,160,0,3.6,0.8,1.2,0
26,8588,29754.6,7089.6,864.4,1348.8,110650,47771.2,6391.2,80.8,6.6,547.2,13.2
27,2.4,12042.6,60805.6,45,1299.6,2.4,1599.6,358.4,0.4,14.4,45.6,0
28,0,0,49021.80002,0,0,0,0,0,0,0,0,37.19998055
29,0,0,25521.6,0,1.2,0,0,288.0390244,0,0,0,47.00001945
30,84868.20001,75.2,121816.2,27310,82905.2,4,33560.8,2135.399969,9020.8,0,298.2,166