District ID,tur,maize,rice,jowar,cotton,ragi,groundnut,moong,bajra,soybean,wheat,onion
1,23003,62916,0,110935,1532,0,28333,39021,21826,949,22675,25866
2,1347,9449,676,0,0,37163,115,0,1,0,0,42
3,6278,141195,64585,145000,54724,433,32632,30821,7782,76747,46347,4397
4,9363,97818,101933,39315,59161,11002,60416,0,24470,0,582,5746
5,600,1153,270,0,0,14449,82,13,3,0,0,31
6,78680,867,1018,42688,490,0,64,34524,2290,149031,4657,476
7,262563,50520,30,145997,12120,0,47874,8522,25751,0,46022,7908
8,786,29289,3011,24258,10014,20565,6227,2302,1704,0,0,4889
9,10720,59501,431,0,40,48698,17441,0,106,0,0,1198
10,509,15287,26898,13216,1883,52115,4215,3476,0,0,0,5335
11,13338,80866,1584,13883,10314,50098,92002,5161,3694,0,271,27427
12,8143,189436,64403,10128,4768,23296,16390,278,1562,57,196,8006
13,881,27986,22421,61361,42633,6,18948,24690,0,29565,35874,15462
14,3373,38468,2437,76846,35230,0,36275,77077,2171,2,18042,23674
15,328808,220,7833,206682,62289,0,7998,79320,7481,13354,10979,3766
16,1622,82852,21625,1455,125,94627,722,9201,0,0,0,76
17,1221,185153,27730,31769,70187,186,23179,2470,0,6822,655,6121
18,0,3558,27171,0,0,0,63,0,0,0,0,0
19,2297,114,1256,0,0,66381,6728,0,0,0,0,274
20,17255,63744,53939,47261,6606,0,34194,27606,79206,0,6536,3721
21,1048,10287,33853,0,0,83792,545,332,0,0,0,198
22,2022,49309,65128,5238,48027,55578,2550,7401,0,0,0,15
23,38188,1592,113457,67057,85850,0,18160,540,39708,0,391,100
24,3377,2160,4294,0,0,73847,1510,85,88,0,0,20
25,491,71212,93516,143,1253,1052,264,291,7,2,0,2
26,10963,20122,4858,0,736,144547,55299,13201,24,0,16,574
27,2,9868,62868,2,1210,0,1683,542,0,7,0,34
28,0,6,47095,0,0,0,1774,184,0,0,0,0
29,0,0,33162,0,0,0,0,272,0,0,0,0
30,58035,60,105443,44824,61479,0,49168,29245,13676,0,95,135