District ID,Name,Latitude,Longitude,,,lat degrees,lat minutes,long degrees,long minutes
1,Bagalkot,16.2,75.75,,,16,12,75,45
2,BANGALORE RURAL,13.46666667,77.61666667,,,13,28,76,97
3,Belgaum,15.86666667,74.56666667,,,15,52,74,34
4,BELLARY,15.15,76.91666667,,,15,9,76,55
5,BENGALURU URBAN,13.56666667,77.05,,,12,94,77,3
6,Bidar,18.51666667,77.76666667,,,17,91,77,46
7,Bijapur,16.83333333,75.78333333,,,16,50,75,47
8,CHAMARAJANAGAR,11.93333333,77,,,11,56,77,0
9,CHIKBALLAPUR,13.43333333,77.76666667,,,13,26,77,46
10,CHIKMAGALUR,13.3,75.81666667,,,13,18,75,49
11,CHITRADURGA,14.23333333,76.43333333,,,14,14,76,26
12,DAVANGERE,14.51666667,75.96666667,,,14,31,75,58
13,Dharwad,15.45,75.08333333,,,15,27,75,5
14,Gadag,15.41666667,75.7,,,15,25,75,42
15,Gulbarga,17.31666667,76.9,,,17,19,76,54
16,Hassan,13.01666667,76.16666667,,,13,1,76,10
17,Haveri,15.33333333,75.63333333,,,14,80,75,38
18,Kodagu,12.63333333,75.36666667,,,12,38,75,22
19,Kolar,13.15,78.18333333,,,13,9,78,11
20,Koppal,15.58333333,76.21666667,,,15,35,76,13
21,Mandya,12.86666667,77.46666667,,,12,52,76,88
22,Mysore,12.3,76.7,,,12,18,76,42
23,Raichur,16.36666667,77.53333333,,,16,22,77,32
24,RAMANAGARA,13.18333333,77.45,,,12,71,77,27
25,Shimoga,13.93333333,75.63333333,,,13,56,75,38
26,Tumkur,13.33333333,77.13333333,,,13,20,77,8
27,UTTAR KANNAD,15.2,73.78333333,,,14,72,73,47
28,DAKSHIN KANNAD,13.33333333,74.88333333,,,12,80,74,53
29,Udupi,13.33333333,74.75,,,13,20,74,45
30,Yadgir,17.26666667,77.2,,,16,76,77,12